[90, 191, 163] [14, 132, 105] [122, 255, 255]
[135, 191, 163] [14, 132, 105] [150, 255, 255]
[0, 0, 76] [14, 132, 105] [179, 25, 190]
[0, 0, 191] [14, 132, 105] [179, 25, 255]
[10, 115, 127] [14, 132, 105] [15, 165, 255]
[0, 0, 0] [14, 146, 76] [179, 255, 51]
[5, 140, 76] [14, 146, 76] [9, 255, 191]
[0, 127, 127] [14, 146, 76] [5, 255, 255]
[10, 191, 163] [14, 146, 76] [13, 255, 255]
[27, 191, 163] [14, 146, 76] [30, 255, 255]
[37, 191, 163] [14, 146, 76] [72, 255, 255]
[90, 191, 163] [14, 146, 76] [122, 255, 255]
[135, 191, 163] [14, 146, 76] [150, 255, 255]
[0, 0, 76] [14, 146, 76] [179, 25, 190]
[0, 0, 191] [14, 146, 76] [179, 25, 255]
[10, 115, 127] [14, 146, 76] [15, 165, 255]
[0, 0, 0] [15, 155, 54] [179, 255, 51]
[5, 140, 76] [15, 155, 54] [9, 255, 191]
[0, 127, 127] [15, 155, 54] [5, 255, 255]
[10, 191, 163] [15, 155, 54] [13, 255, 255]
[27, 191, 163] [15, 155, 54] [30, 255, 255]
[37, 191, 163] [15, 155, 54] [72, 255, 255]
[90, 191, 163] [15, 155, 54] [122, 255, 255]
[135, 191, 163] [15, 155, 54] [150, 255, 255]
[0, 0, 76] [15, 155, 54] [179, 25, 190]
[0, 0, 191] [15, 155, 54] [179, 25, 255]
[10, 115, 127] [15, 155, 54] [15, 165, 255]
[0, 0, 0] [13, 121, 52] [179, 255, 51]
[5, 140, 76] [13, 121, 52] [9, 255, 191]
[0, 127, 127] [13, 121, 52] [5, 255, 255]
[10, 191, 163] [13, 121, 52] [13, 255, 255]
